Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB,FT,F3T,PPG,HLD,FD,DRG,ELD,FBN,BN,LNE,JNG,WPM,CWPM,WCPM
100 Thieves,6,3,3,34.7,72,77,0.94,0.72,-0.59,-5.6,43.3,6.7,-799,33,17,33,4,33,67,54,,50,43,49.5,49.4,3.99,1.51,1.5
Cloud9,10,3,7,35.1,120,145,0.83,0.75,-0.18,-1.1,46.3,-16.3,-190,50,30,40,5.5,50,50,48,0,50,35,50.0,50.8,3.37,1.26,1.6
DetonatioN FocusMe,6,0,6,31.2,45,101,0.45,0.78,-2.25,-17.9,27.3,-27.3,-3154,67,33,17,3.2,25,33,30,,17,40,48.5,40.0,3.26,1.36,1.63
DWG KIA,19,14,5,34.7,291,190,1.53,0.73,0.84,6.5,64.9,8.8,1182,53,68,79,6.1,61,68,62,67,58,63,49.4,51.4,4.03,1.6,1.84
EDward Gaming,21,13,8,32.7,259,225,1.15,0.7,0.73,2.9,54.7,7.2,590,57,62,57,5.1,57,43,58,100,48,56,50.4,54.1,3.28,1.31,1.82
Fnatic,6,1,5,37.7,94,167,0.56,1.15,-0.96,-8.1,49.9,-33.3,-289,33,83,50,4.7,50,83,42,,33,25,50.3,49.8,3.21,1.33,1.48
FunPlus Phoenix,7,2,5,33.4,63,111,0.57,0.74,-1.34,-7.9,36.2,-7.7,-1741,29,43,43,6.3,57,57,39,,29,33,49.9,48.5,3.55,1.51,1.59
Gen.G,16,10,6,36.1,226,205,1.1,0.75,0.27,2.1,56.4,6.1,552,56,69,56,5.8,53,63,51,67,50,57,49.9,47.8,3.59,1.58,1.72
Hanwha Life Esports,10,4,6,35.7,126,137,0.92,0.74,0.24,-0.4,56.8,-16.8,329,50,40,50,4.3,65,60,50,,50,44,50.9,47.7,3.64,1.6,1.69
LNG Esports,7,3,4,31.7,88,74,1.19,0.73,0.08,0.2,50.6,-7.8,-191,57,43,43,3.9,15,71,62,0,29,29,50.8,50.5,3.2,1.17,1.52
MAD Lions,11,4,7,37.1,167,204,0.82,0.91,-0.25,-2.0,39,-2.6,-328,45,36,45,5.3,59,9,37,50,36,48,50.3,52.2,3.69,1.23,1.69
PSG Talon,6,3,3,36.8,93,77,1.21,0.77,-1.12,-0.3,22.2,27.8,-2341,33,33,17,3.8,33,0,38,,50,70,47.6,51.3,3.4,1.32,1.5
Rogue,8,3,5,37,106,116,0.91,0.75,-0.72,-2.4,39.7,-2.2,-1123,25,25,25,4.6,38,38,40,0,38,42,49.7,48.2,3.48,1.04,1.6
Royal Never Give Up,12,7,5,34.3,195,168,1.16,0.88,0.07,1.1,50,8.3,268,58,42,50,5.4,33,58,55,,33,38,50.8,48.1,3.39,1.38,1.53
T1,14,10,4,31,164,101,1.62,0.61,1.29,8.2,59.4,12,1575,71,64,64,7,61,29,50,0,71,78,50.4,52.5,3.55,1.51,1.67
Team Liquid,7,3,4,33.4,75,89,0.84,0.7,-0.76,-6.5,48.8,-6,-674,29,43,43,4.1,54,71,48,100,71,50,49.8,47.1,3.36,1.27,1.41
